frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
54,3.0,[1675.5301013991636 7.551307372506699 3325.179934435221 1471.3227931347276],[2122.046875 1157.6588134765625 2740.418212890625 1358.1607666015625],0.7310378551483154,PIH-611,0.5158759691717085
55,1.0,[176.85490600166804 131.75454016839797 1768.182898451823 1134.8122973753416],[433.94439697265625 894.6324462890625 817.253173828125 1042.336669921875],0.694474458694458,WIACU-805,0.2790655486281898
56,3.0,[1690.1813827373367 7.47704461518731 3344.4030766987958 1473.62533919811],[2136.824462890625 1154.02587890625 2765.349365234375 1360.3792724609375],0.7151522040367126,PIH-611,0.5330903150109656
57,3.0,[1697.566797611949 6.1199503454879505 3353.9837255212165 1473.2627919232348],[2165.464599609375 1155.59912109375 2770.634033203125 1351.9727783203125],0.7332440614700317,PIH-611,0.5304876597281856
57,1.0,[190.83919447714084 127.83205092388266 1780.1318213406987 1133.094337766247],[437.36279296875 881.5465087890625 826.7230224609375 1042.25048828125],0.7032451629638672,EIACU-805,0.43611664647648984
58,3.0,[1704.9555553918792 7.036126085963701 3364.253179518202 1475.4858879981998],[2174.896728515625 1155.333984375 2782.05029296875 1353.240478515625],0.7189794182777405,PIH-611,0.7891712451420256
58,1.0,[196.18099118747955 125.16116335069626 1784.9956724868237 1133.2304789591144],[443.28277587890625 882.6763916015625 827.9077758789062 1034.8436279296875],0.7005759477615356,EIACU805,0.6960363605210909
59,3.0,[1714.726374878131 7.353911172377707 3374.612927971983 1476.4985923626223],[2175.28125 1154.8143310546875 2798.36279296875 1357.2886962890625],0.7275661826133728,PIH-611,0.4515723695318542
59,1.0,[200.56397535536485 122.76731749534775 1788.5554198718428 1133.5282550891518],[450.9913330078125 877.8510131835938 833.1748046875 1030.2833251953125],0.7082250118255615,IIACU-805,0.6387421413723868
60,3.0,[1725.5372334396711 7.870762539744305 3387.8103922578316 1477.9141057824027],[2180.75927734375 1153.678466796875 2814.189208984375 1358.9276123046875],0.7326643466949463,PIH-611,0.7176866884857113
61,1.0,[208.5316715080197 115.81882116762921 1796.6996008427836 1131.1492977821238],[463.42529296875 883.7905883789062 844.85302734375 1026.83544921875],0.6977001428604126,WIACU-805,0.23076224587298805
62,3.0,[1744.537800772111 7.407907844803958 3415.4516162168848 1481.2480771834882],[2203.549072265625 1155.226318359375 2835.75537109375 1363.8782958984375],0.7311885356903076,PIH-611,0.799783465906145
63,3.0,[1753.196025575307 7.2056970156363604 3429.5086999411856 1483.1348610668217],[2216.51806640625 1157.2080078125 2856.420166015625 1361.0797119140625],0.7060078382492065,PIH-611,0.46605745411303495
63,1.0,[216.5838888129382 111.64234595730898 1805.9557618716608 1128.9612935815303],[476.430908203125 876.4867553710938 856.204833984375 1023.9190673828125],0.7056171894073486,GIACU-805,0.9113491704989453
64,3.0,[1766.7221797289699 5.199455829393628 3447.614689414055 1481.947776449398],[2227.823974609375 1157.569091796875 2868.614501953125 1368.338134765625],0.730865478515625,PLK-611,0.3084645356716841
64,1.0,[224.67263116981144 110.55972236188569 1812.6217906326315 1128.9328352537786],[490.5215148925781 878.466796875 866.6903686523438 1022.6588745117188],0.6996546983718872,GIACU-805,0.4656263624392766
65,3.0,[1775.918986648163 6.896642075585532 3462.524385385266 1485.5815483281401],[2234.724609375 1156.676513671875 2886.970947265625 1369.5234375],0.7347395420074463,PIH-611,0.3682082300893027
66,3.0,[1793.7416222013142 6.49584966596899 3484.523859386857 1486.6527159103125],[2256.488037109375 1168.282470703125 2906.69482421875 1369.6783447265625],0.7153711318969727,PIH-611,0.5432047112182313
66,1.0,[238.77705378385622 107.96422054907015 1827.349179206333 1126.9482060732464],[500.56182861328125 872.4266967773438 889.8814086914062 1019.6898193359375],0.6856206655502319,EIACU-805,0.6150701359769051
67,1.0,[245.89886700785064 107.67003056866656 1833.2161479339502 1126.123505080454],[505.81292724609375 869.3322143554688 903.3116455078125 1021.3980102539062],0.6960505247116089,GIACU-805,0.7242005887157082
68,3.0,[1819.1193278481314 6.976999658701288 3518.116634436088 1493.460787848176],[2316.59716796875 1174.335205078125 2937.614501953125 1372.7867431640625],0.7156602740287781,PIH-611,0.729389830155053
69,3.0,[1833.5760060935595 7.826452244155234 3539.708849681672 1497.800350456029],[2325.22119140625 1171.0655517578125 2968.757080078125 1381.8345947265625],0.7396311163902283,PIH-611,0.5518407895799752
72,3.0,[1886.3326081682649 10.086979250681111 3608.2378215037847 1507.891298474371],[2392.955810546875 1185.7935791015625 3037.43505859375 1396.0045166015625],0.7563183903694153,PIH-611,0.44220548823488304
72,1.0,[298.6649813632863 109.13923249059553 1875.252847906413 1130.2336455669943],[568.61572265625 871.8001098632812 954.3226318359375 1029.483154296875],0.709292471408844,HIACU-805,0.7523404703938236
74,3.0,[1922.5055230544338 12.29656398105385 3655.9453347006756 1515.8275806599845],[2438.249267578125 1199.9561767578125 3095.326904296875 1398.653076171875],0.7253003716468811,PLH-611,0.5238792978285175
74,1.0,[328.2816072519687 113.5831785663317 1894.5532629307868 1136.8684032446065],[596.8143310546875 881.3748779296875 994.8944091796875 1033.7918701171875],0.6898354887962341,EIACU-805,0.7250879372179565
75,3.0,[1938.2711044645666 13.981685163440716 3678.1182522942154 1522.2161056188302],[2459.256591796875 1196.9754638671875 3120.1171875 1410.252685546875],0.7305154204368591,PIH-611,0.5411784396265626
75,1.0,[341.27559871537915 114.98886813174386 1902.689724862224 1140.155488535511],[602.573974609375 875.8056030273438 1005.4871215820312 1038.9437255859375],0.7010901570320129,EIACU-805,0.7317623130745846
76,3.0,[1952.8878285652988 14.544955619097664 3698.5715880458565 1528.490283584458],[2475.70703125 1205.819091796875 3132.954345703125 1404.0252685546875],0.7152115106582642,PIH-611,0.6977417118715338
77,3.0,[1965.7329116310398 14.39721820192051 3715.2326313079243 1533.3060449616269],[2485.6552734375 1202.7982177734375 3156.1318359375 1417.7069091796875],0.7302846908569336,PIH-611,0.4968235971296506
77,1.0,[366.34107143355766 116.8484318082609 1919.6136708297981 1143.4431336658154],[630.3111572265625 876.8373413085938 1030.7694091796875 1042.19287109375],0.7195298075675964,HIACU-805,0.43522596647680756
78,3.0,[1976.9101522756137 13.73429602526869 3732.3302644701434 1537.5795679053203],[2506.94384765625 1208.2408447265625 3162.615234375 1419.721435546875],0.7336386442184448,PIH-611,0.8239223386749405
78,1.0,[373.80570431807246 116.61004989499406 1924.6172545403233 1144.2534306997436],[644.5479125976562 876.9819946289062 1038.0718994140625 1046.2633056640625],0.7214922904968262,FIACU-805,0.3164098289516563
79,3.0,[1994.0333679308965 14.794510210461453 3754.0303486776843 1544.052653248364],[2522.85205078125 1212.1451416015625 3191.406005859375 1422.376220703125],0.7810214757919312,PIH-611,0.48775849158777956
80,3.0,[2007.6279969857237 14.6651458784022 3773.258649563631 1548.8487023795649],[2533.29150390625 1219.2901611328125 3215.16650390625 1421.4642333984375],0.7190433144569397,PLH-611,0.32021214748462584
81,3.0,[2018.0626486389385 15.166364250759898 3791.4944879571576 1554.578589778401],[2551.493408203125 1222.9876708984375 3228.34130859375 1432.7247314453125],0.7258538603782654,PIH-611,0.5709609706236167
81,1.0,[396.7038944366931 121.46467631359565 1939.1467257008367 1153.2839235220422],[662.29052734375 896.7200927734375 1065.843994140625 1051.353515625],0.709063708782196,EIACU-805,0.6288518283999928
82,3.0,[2029.7655246393624 14.02569174414782 3811.871468326107 1558.1405390001169],[2579.09326171875 1220.976318359375 3247.46044921875 1444.208984375],0.7674946784973145,PLK-611,0.8355380192059633
83,3.0,[2044.3166765355254 13.411789860353679 3830.079038053639 1562.087459446911],[2611.707275390625 1236.3531494140625 3262.601806640625 1437.875],0.710395097732544,PIH-611,0.970199489629237
83,1.0,[415.0617226470995 125.46371196351242 1953.516318773759 1160.057257982609],[687.8411865234375 906.0928344726562 1089.870849609375 1054.3616943359375],0.7019262909889221,HIACU-805,0.5772528987156993
84,3.0,[2056.55877262587 13.019893936432595 3841.865823119664 1564.5534419083178],[2610.668701171875 1234.6600341796875 3293.738037109375 1449.7005615234375],0.751701831817627,PIH-611,0.6114450744490967
84,1.0,[424.546684584524 128.17990693696765 1959.1679103708425 1163.3630758520615],[701.1650390625 911.940673828125 1097.5257568359375 1055.2811279296875],0.6773137450218201,FIACU-805,0.45187374681686404
85,3.0,[2069.844637480609 12.514508525408928 3849.5660976502886 1567.8672904174828],[2620.723388671875 1236.0816650390625 3319.1513671875 1459.847412109375],0.7565544843673706,PIK-611,0.5585274660525585
86,3.0,[2084.702559774512 12.657754703822548 3854.9735432687244 1570.446260688481],[2658.123779296875 1238.8785400390625 3350.732666015625 1460.204345703125],0.7559287548065186,PIH-611,0.6122535952208844
86,1.0,[448.1510157272829 126.53997006532893 1975.3057668611386 1163.1782136167371],[720.3283081054688 909.72216796875 1128.6578369140625 1058.19580078125],0.6900032758712769,AIACU-805,0.7365553225175958
87,3.0,[2096.0974222398363 11.039916656454693 3857.413120814109 1569.6445488370491],[2683.81591796875 1234.8951416015625 3381.7919921875 1457.630126953125],0.7436100244522095,PIH-611,0.8581540916320675
88,3.0,[2111.8976571181684 9.970371559745558 3859.81204955824 1573.5151771680125],[2715.52099609375 1237.8409423828125 3420.649169921875 1457.2283935546875],0.7339096665382385,PIH-611,0.5081520701375293
88,1.0,[474.4773285437376 123.76468385256362 1996.7640849589725 1162.5719834145823],[760.0643920898438 914.1329956054688 1153.2452392578125 1053.3447265625],0.697248101234436,AIACU-805,0.5226541114736325
89,3.0,[2128.265584153314 9.199887329392595 3862.1737588428296 1574.1806361575136],[2752.46337890625 1237.382080078125 3449.406005859375 1455.592529296875],0.7396903038024902,PIH-611,0.787290469042171
90,3.0,[2152.7445247190662 7.6479156947012825 3866.759812817081 1573.1823191074213],[2782.929931640625 1232.22216796875 3489.173583984375 1453.4739990234375],0.7331860661506653,PIH-611,0.5413056788070969
91,3.0,[2173.3031982034395 7.422601780772652 3867.9805638461207 1574.879446518437],[2823.68408203125 1240.919677734375 3530.7626953125 1453.2784423828125],0.7156654000282288,PIH-611,0.976391672899597
91,1.0,[534.693600683801 114.14189926162385 2046.3152058960986 1157.7378206661251],[815.6759033203125 902.4852905273438 1222.5645751953125 1053.308349609375],0.704948365688324,EIACU-805,0.8777433291693896
92,3.0,[2205.547693124141 5.585897780920732 3873.555796459217 1573.8197735692338],[2851.160400390625 1234.8992919921875 3585.088134765625 1440.6007080078125],0.7287677526473999,PIH-611,0.5741387244573377
92,1.0,[559.7099564939649 111.09643590898315 2067.050045640371 1157.83081174163],[839.6215209960938 888.94189453125 1244.2113037109375 1055.6817626953125],0.7254488468170166,FIACU-805,0.26741909956500537
93,3.0,[2237.793522077071 4.204231044491621 3877.0103122404503 1574.5198294999964],[2902.653076171875 1231.2294921875 3631.03125 1461.6171875],0.7287142276763916,PIH-611,0.9223965697090136
94,3.0,[2267.5393390205572 2.870561719450393 3877.4551275486356 1574.2876588903223],[2936.088134765625 1239.0106201171875 3683.389892578125 1455.6390380859375],0.7309238314628601,PIH-611,0.6471342393233855
